Country,HDI,Life exp,EYOS,MYOS,GNI,GNI rank,HDI rank
Mali,0.428,58.9,7.4,2.3,2133.00,-11,186
Slovenia,0.918,80.7,17.7,12.8,39746.00,10,23
Malawi,0.512,62.9,12.7,4.5,1466.00,13,169
Iceland,0.959,82.7,19.2,13.8,55782.00,11,2
Hungary,0.846,74.5,15,12.2,32789.00,-2,44
Micronesia (Federated States of),0.628,70.7,11.5,7.8,3696.00,22,136
Palau,0.767,66,15.8,12.5,13819.00,5,80
Mongolia,0.739,71,15,9.4,10588.00,9,90
Bahamas,0.812,71.6,12.9,12.6,30486.00,-8,58
Namibia,0.615,59.3,11.9,7.2,8634.00,-23,134
Senegal,0.511,67.1,9,2.9,3344.00,-10,170
Moldova (Republic of),0.767,68.8,14.4,11.8,14875.00,-1,81
Cambodia,0.593,69.6,11.5,5.1,4079.00,3,148
Uruguay,0.809,75.4,16.8,9,21269.00,5,55
Côte d'Ivoire,0.55,58.6,10.7,5.2,5217.00,-22,159
Austria,0.916,81.6,16,12.3,53619.00,-8,23
Japan,0.925,84.8,15.2,13.4,42274.00,12,19
Albania,0.796,76.5,14.4,11.3,14131.00,17,68
Turkmenistan,0.745,69.3,13.2,11.3,13021.00,-1,93
Italy,0.895,82.9,16.2,10.7,42840.00,0,32
Togo,0.539,61.6,13,5,2167.00,12,163
Grenada,0.795,74.9,18.7,9,13484.00,18,70
Djibouti,0.509,62.3,7.4,4.1,5025.00,-32,171
Egypt,0.731,70.2,13.8,9.6,11732.00,4,97
"Hong Kong, China (SAR)",0.952,85.5,17.3,12.2,62607.00,6,4
Tunisia,0.731,73.8,15.4,7.4,10258.00,10,94
Gabon,0.706,65.8,13,9.4,13367.00,-25,113
Jordan,0.72,74.3,10.6,10.4,9924.00,8,104
Guyana,0.714,65.7,12.5,8.6,22465.00,-47,107
Ireland,0.945,82,18.9,11.6,76169.00,-3,8
Comoros,0.558,63.4,11.9,5.1,3142.00,6,156
Trinidad and Tobago,0.81,73,14.5,11.6,23392.00,1,56
Costa Rica,0.809,77,16.5,8.8,19974.00,8,57
Brazil,0.754,72.8,15.6,8.1,14370.00,-5,86
Congo,0.571,63.5,12.3,6.2,2889.00,11,153
Singapore,0.939,82.8,16.5,11.9,90919.00,-10,10
Armenia,0.759,72,13.1,11.3,13158.00,4,87
Philippines,0.699,69.3,13.1,9,8920.00,-3,113
Botswana,0.693,61.1,12.3,10.3,16198.00,-43,110
Haiti,0.535,63.2,9.7,5.6,2848.00,2,162
Bhutan,0.666,71.8,13.2,5.2,9438.00,-15,125
Belize,0.683,70.5,13,8.8,6309.00,6,120
Chad,0.394,52.5,8,2.6,1364.00,-7,190
Azerbaijan,0.745,69.4,13.5,10.5,14257.00,-8,100
South Sudan,0.385,55,5.5,5.7,768.00,-1,191
Mozambique,0.446,59.3,10.2,3.2,1198.00,2,184
Ethiopia,0.498,65,9.7,3.2,2361.00,-5,175
Paraguay,0.717,70.3,13,8.9,12349.00,-10,100
Eswatini,0.597,57.1,13.7,5.6,7679.00,-21,141
Suriname,0.73,70.3,13,9.8,12672.00,-6,92
